VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CD1,113.0,CD1-C7-C19-C5-C2-C16-C23-C14-CD1,7,17.0-12.0-15.0-13.0-17.0-18.0-21.0,0.1,6337.3,987
VEH002,CD1,138.0,CD1-C6-C9-C12-C10-C25-C17-C11-C18-CD1,8,20.0-20.0-17.0-20.0-11.0-10.0-15.0-25.0,0.1,8886.5,1366
VEH003,CD1,15.0,CD1-C21-CD1,1,15.0,0.0,2956.1,397
VEH004,CD1,12.0,CD1-C13-CD1,1,12.0,0.0,3351.5,483
VEH005,CD1,12.0,CD1-C4-CD1,1,12.0,0.0,2953.1,414
VEH006,CD1,15.0,CD1-C15-CD1,1,15.0,0.0,2542.3,322
VEH007,CD1,15.0,CD1-C24-CD1,1,15.0,0.0,2733.9,352
VEH008,CD1,57.0,CD1-C20-C22-C8-C3-CD1,4,11.0-14.0-17.0-15.0,0.1,5573.2,936
